asset_id,hostname,vendor,product,version,criticality,internet_facing
A00154,oracle-oracle-db-154,Oracle,Oracle DB,7.3.24,Critical,No
A00155,cisco-asa-155,Cisco,ASA,3.8.36,High,Yes
A00156,cisco-ios-xe-156,Cisco,IOS XE,3.4.69,Critical,No
A00157,cisco-meraki-157,Cisco,Meraki,3.9.98,Medium,Yes
A00158,microsoft-windows-server-158,Microsoft,Windows Server,10.7.67,High,Yes
A00159,linux-centos-159,Linux,CentOS,10.6.45,Critical,Yes
A00160,linux-ubuntu-160,Linux,Ubuntu,9.4.28,Critical,Yes
A00161,vmware-esxi-161,VMware,ESXi,10.3.56,Low,No
A00162,cisco-meraki-162,Cisco,Meraki,4.1.38,Medium,No
A00163,cisco-asa-163,Cisco,ASA,8.3.82,High,No
A00164,cisco-ios-xe-164,Cisco,IOS XE,5.1.55,Medium,No
A00165,cisco-ios-xe-165,Cisco,IOS XE,4.1.71,High,No
A00166,vmware-vcenter-166,VMware,vCenter,8.5.55,Medium,No
A00167,oracle-weblogic-167,Oracle,WebLogic,3.6.76,Medium,No
A00168,oracle-oracle-db-168,Oracle,Oracle DB,9.9.71,Medium,No
A00169,cisco-asa-169,Cisco,ASA,1.1.82,Critical,No
A00170,microsoft-windows-server-170,Microsoft,Windows Server,10.2.69,Low,Yes
A00171,linux-redhat-171,Linux,RedHat,5.4.12,Critical,No
A00172,linux-centos-172,Linux,CentOS,4.8.46,Medium,No
A00173,microsoft-exchange-server-173,Microsoft,Exchange Server,9.0.96,Critical,No
A00174,microsoft-exchange-server-174,Microsoft,Exchange Server,6.7.96,Low,Yes
A00175,linux-centos-175,Linux,CentOS,3.0.70,Critical,No
A00176,linux-ubuntu-176,Linux,Ubuntu,9.1.29,High,Yes
A00177,oracle-weblogic-177,Oracle,WebLogic,3.7.43,Critical,No
A00178,linux-ubuntu-178,Linux,Ubuntu,7.3.47,High,Yes
A00179,oracle-weblogic-179,Oracle,WebLogic,1.2.81,Critical,Yes
A00180,oracle-weblogic-180,Oracle,WebLogic,7.8.29,Low,Yes
A00181,microsoft-sql-server-181,Microsoft,SQL Server,1.7.76,High,No
A00182,oracle-oracle-db-182,Oracle,Oracle DB,5.5.16,High,Yes
A00183,cisco-ios-xe-183,Cisco,IOS XE,10.2.41,Low,No
A00184,cisco-asa-184,Cisco,ASA,2.5.44,High,No
A00185,apache-tomcat-185,Apache,Tomcat,7.8.24,Medium,No
A00186,vmware-vcenter-186,VMware,vCenter,9.6.81,Low,No
A00187,cisco-meraki-187,Cisco,Meraki,9.1.20,Low,No
A00188,cisco-ios-xe-188,Cisco,IOS XE,10.7.36,Medium,No
A00189,linux-ubuntu-189,Linux,Ubuntu,3.2.54,High,No
A00190,oracle-oracle-db-190,Oracle,Oracle DB,3.2.60,Low,No
A00191,vmware-esxi-191,VMware,ESXi,6.9.9,Critical,Yes
A00192,cisco-meraki-192,Cisco,Meraki,8.0.55,Low,No
A00193,oracle-weblogic-193,Oracle,WebLogic,2.4.61,High,Yes
A00194,microsoft-windows-server-194,Microsoft,Windows Server,4.8.1,Medium,No
A00195,oracle-oracle-db-195,Oracle,Oracle DB,6.0.38,Medium,No
A00196,oracle-weblogic-196,Oracle,WebLogic,8.1.15,High,No
A00197,microsoft-sql-server-197,Microsoft,SQL Server,1.4.2,Low,No
A00198,vmware-vcenter-198,VMware,vCenter,4.4.79,High,Yes
A00199,vmware-vcenter-199,VMware,vCenter,5.7.39,Critical,No
A00200,vmware-esxi-200,VMware,ESXi,9.9.9,High,Yes
A00201,cisco-meraki-201,Cisco,Meraki,1.2.99,Medium,Yes
A00202,apache-apache-http-server-202,Apache,Apache HTTP Server,2.4.92,Critical,Yes
A00203,linux-redhat-203,Linux,RedHat,10.5.94,Medium,Yes
A00204,cisco-ios-xe-204,Cisco,IOS XE,2.9.40,High,Yes
A00205,microsoft-exchange-server-205,Microsoft,Exchange Server,10.8.28,Low,Yes
A00206,microsoft-exchange-server-206,Microsoft,Exchange Server,4.2.10,Low,No
A00207,oracle-weblogic-207,Oracle,WebLogic,6.9.17,Low,No
A00208,apache-tomcat-208,Apache,Tomcat,8.9.27,Medium,Yes
A00209,microsoft-sql-server-209,Microsoft,SQL Server,3.8.3,Medium,No
A00210,linux-ubuntu-210,Linux,Ubuntu,3.2.55,Critical,Yes
A00211,apache-tomcat-211,Apache,Tomcat,5.6.84,Low,Yes
A00212,linux-ubuntu-212,Linux,Ubuntu,1.8.91,High,No
A00213,oracle-weblogic-213,Oracle,WebLogic,9.4.69,Medium,No
A00214,vmware-esxi-214,VMware,ESXi,5.2.7,Low,No
A00215,linux-centos-215,Linux,CentOS,1.8.95,Medium,No
A00216,linux-ubuntu-216,Linux,Ubuntu,3.8.64,High,No
A00217,oracle-weblogic-217,Oracle,WebLogic,7.0.24,Critical,Yes
A00218,microsoft-exchange-server-218,Microsoft,Exchange Server,3.4.93,Critical,No
A00219,microsoft-windows-server-219,Microsoft,Windows Server,10.0.60,Critical,No
A00220,vmware-esxi-220,VMware,ESXi,4.7.39,Critical,Yes
A00221,microsoft-exchange-server-221,Microsoft,Exchange Server,2.4.61,High,No
A00222,vmware-vcenter-222,VMware,vCenter,4.1.55,Low,No
A00223,apache-apache-http-server-223,Apache,Apache HTTP Server,1.5.54,Critical,No
A00224,apache-tomcat-224,Apache,Tomcat,4.6.24,Medium,Yes
A00225,cisco-asa-225,Cisco,ASA,8.4.5,Medium,No
A00226,linux-redhat-226,Linux,RedHat,10.6.50,Low,No
A00227,microsoft-sql-server-227,Microsoft,SQL Server,6.8.66,High,No
A00228,cisco-ios-xe-228,Cisco,IOS XE,9.8.93,High,Yes
A00229,vmware-esxi-229,VMware,ESXi,8.5.81,Critical,Yes
A00230,oracle-weblogic-230,Oracle,WebLogic,8.2.63,Medium,Yes
A00231,vmware-esxi-231,VMware,ESXi,9.9.22,Critical,No
A00232,microsoft-windows-server-232,Microsoft,Windows Server,2.3.90,Medium,No
A00233,microsoft-sql-server-233,Microsoft,SQL Server,2.4.35,Medium,No
A00234,microsoft-sql-server-234,Microsoft,SQL Server,1.5.26,Critical,No
A00235,apache-apache-http-server-235,Apache,Apache HTTP Server,5.1.75,Critical,No
A00236,microsoft-sql-server-236,Microsoft,SQL Server,2.9.0,Low,No
A00237,vmware-vcenter-237,VMware,vCenter,8.8.30,Medium,Yes
A00238,vmware-esxi-238,VMware,ESXi,1.9.53,Medium,No
A00239,microsoft-exchange-server-239,Microsoft,Exchange Server,2.4.4,High,Yes
A00240,linux-redhat-240,Linux,RedHat,8.5.16,Medium,No
A00241,microsoft-exchange-server-241,Microsoft,Exchange Server,10.6.1,Critical,No
A00242,cisco-ios-xe-242,Cisco,IOS XE,7.8.43,High,Yes
A00243,oracle-oracle-db-243,Oracle,Oracle DB,4.1.54,High,No
A00244,linux-ubuntu-244,Linux,Ubuntu,9.4.91,Critical,No
A00245,vmware-esxi-245,VMware,ESXi,2.1.19,Medium,No
A00246,apache-tomcat-246,Apache,Tomcat,10.2.22,Low,Yes
A00247,linux-centos-247,Linux,CentOS,10.1.41,Critical,No
A00248,apache-apache-http-server-248,Apache,Apache HTTP Server,4.2.21,Medium,No
A00249,linux-ubuntu-249,Linux,Ubuntu,2.0.25,Medium,No
A00250,microsoft-sql-server-250,Microsoft,SQL Server,1.1.39,Low,No
A00251,apache-tomcat-251,Apache,Tomcat,6.3.30,Medium,No
A00252,microsoft-windows-server-252,Microsoft,Windows Server,4.2.55,High,No
A00253,cisco-ios-xe-253,Cisco,IOS XE,2.3.18,Critical,Yes
A00254,microsoft-windows-server-254,Microsoft,Windows Server,4.5.84,Medium,No
A00255,apache-tomcat-255,Apache,Tomcat,2.3.88,High,No
A00256,vmware-vcenter-256,VMware,vCenter,9.1.85,Medium,No
A00257,apache-apache-http-server-257,Apache,Apache HTTP Server,8.7.52,High,Yes
A00258,linux-redhat-258,Linux,RedHat,2.2.35,Critical,No
A00259,vmware-vcenter-259,VMware,vCenter,5.9.74,High,No
A00260,cisco-ios-xe-260,Cisco,IOS XE,8.8.65,Medium,No
A00261,oracle-weblogic-261,Oracle,WebLogic,2.2.39,Critical,No
A00262,linux-ubuntu-262,Linux,Ubuntu,3.7.45,Critical,No
A00263,oracle-weblogic-263,Oracle,WebLogic,8.3.42,Critical,No
A00264,apache-apache-http-server-264,Apache,Apache HTTP Server,3.1.49,High,No
A00265,microsoft-exchange-server-265,Microsoft,Exchange Server,4.3.18,Critical,No
A00266,microsoft-sql-server-266,Microsoft,SQL Server,2.0.65,Low,Yes
A00267,cisco-ios-xe-267,Cisco,IOS XE,3.6.60,High,No
A00268,cisco-meraki-268,Cisco,Meraki,7.2.55,Low,No
A00269,oracle-weblogic-269,Oracle,WebLogic,2.7.81,Medium,No
A00270,microsoft-windows-server-270,Microsoft,Windows Server,10.6.75,High,No
A00271,apache-tomcat-271,Apache,Tomcat,2.4.77,Critical,No
A00272,microsoft-sql-server-272,Microsoft,SQL Server,6.8.78,Medium,No
A00273,apache-apache-http-server-273,Apache,Apache HTTP Server,8.5.21,High,Yes
A00274,cisco-ios-xe-274,Cisco,IOS XE,1.9.80,Low,Yes
A00275,cisco-meraki-275,Cisco,Meraki,10.0.86,Medium,No
A00276,cisco-ios-xe-276,Cisco,IOS XE,6.9.64,Medium,No
A00277,cisco-asa-277,Cisco,ASA,1.8.96,High,Yes
A00278,vmware-esxi-278,VMware,ESXi,4.4.23,Critical,No
A00279,apache-tomcat-279,Apache,Tomcat,8.7.29,Low,No
A00280,apache-tomcat-280,Apache,Tomcat,4.1.23,Critical,No
A00281,apache-tomcat-281,Apache,Tomcat,2.1.14,High,No
A00282,cisco-asa-282,Cisco,ASA,7.3.77,Medium,No
A00283,microsoft-windows-server-283,Microsoft,Windows Server,9.6.14,High,No
A00284,apache-apache-http-server-284,Apache,Apache HTTP Server,9.1.14,Low,No
A00285,oracle-weblogic-285,Oracle,WebLogic,7.5.30,Critical,No
A00286,microsoft-exchange-server-286,Microsoft,Exchange Server,1.2.20,Medium,Yes
A00287,apache-apache-http-server-287,Apache,Apache HTTP Server,6.9.59,High,No
A00288,linux-ubuntu-288,Linux,Ubuntu,7.1.21,Medium,Yes
A00289,cisco-meraki-289,Cisco,Meraki,8.2.60,Medium,No
A00290,oracle-weblogic-290,Oracle,WebLogic,4.9.82,High,No
A00291,cisco-meraki-291,Cisco,Meraki,1.3.75,Critical,No
A00292,linux-redhat-292,Linux,RedHat,8.6.21,High,Yes
A00293,cisco-meraki-293,Cisco,Meraki,7.5.59,High,Yes
A00294,microsoft-exchange-server-294,Microsoft,Exchange Server,5.1.29,High,No
A00295,linux-centos-295,Linux,CentOS,7.5.14,Low,No
A00296,linux-ubuntu-296,Linux,Ubuntu,5.8.6,Critical,No
A00297,microsoft-sql-server-297,Microsoft,SQL Server,6.3.75,Low,No
A00298,linux-centos-298,Linux,CentOS,5.0.37,Critical,Yes
A00299,vmware-vcenter-299,VMware,vCenter,7.5.84,Critical,No
A00300,apache-apache-http-server-300,Apache,Apache HTTP Server,1.7.63,High,No
A00301,vmware-vcenter-301,VMware,vCenter,10.6.48,High,No
A00302,apache-apache-http-server-302,Apache,Apache HTTP Server,2.7.95,Medium,Yes
A00303,cisco-ios-xe-303,Cisco,IOS XE,8.8.50,High,No
A00304,microsoft-windows-server-304,Microsoft,Windows Server,10.6.6,Medium,No
A00305,apache-apache-http-server-305,Apache,Apache HTTP Server,7.4.41,Critical,No
A00306,cisco-meraki-306,Cisco,Meraki,7.0.61,Medium,No
A00307,oracle-oracle-db-307,Oracle,Oracle DB,5.5.5,Critical,Yes
A00308,oracle-oracle-db-308,Oracle,Oracle DB,7.9.58,High,No
A00309,vmware-vcenter-309,VMware,vCenter,6.2.69,Medium,No
A00310,linux-ubuntu-310,Linux,Ubuntu,7.7.60,Low,Yes
A00311,microsoft-sql-server-311,Microsoft,SQL Server,6.1.18,Medium,No
A00312,cisco-meraki-312,Cisco,Meraki,2.4.39,Critical,No
A00313,oracle-weblogic-313,Oracle,WebLogic,1.2.53,High,No
A00314,vmware-esxi-314,VMware,ESXi,2.5.57,Low,No
A00315,vmware-esxi-315,VMware,ESXi,2.0.17,Low,No
A00316,oracle-oracle-db-316,Oracle,Oracle DB,5.4.18,High,No
A00317,microsoft-exchange-server-317,Microsoft,Exchange Server,4.7.75,Medium,Yes
A00318,oracle-oracle-db-318,Oracle,Oracle DB,3.5.40,Medium,Yes
A00319,linux-centos-319,Linux,CentOS,7.3.15,Medium,No
A00320,microsoft-sql-server-320,Microsoft,SQL Server,2.7.71,Critical,No
A00321,linux-ubuntu-321,Linux,Ubuntu,4.2.86,High,No
A00322,microsoft-sql-server-322,Microsoft,SQL Server,7.8.42,Medium,No
A00323,vmware-vcenter-323,VMware,vCenter,3.0.65,High,No
A00324,microsoft-sql-server-324,Microsoft,SQL Server,1.1.38,High,Yes
A00325,cisco-asa-325,Cisco,ASA,8.3.48,Medium,No
A00326,microsoft-windows-server-326,Microsoft,Windows Server,10.1.8,Critical,No
A00327,cisco-asa-327,Cisco,ASA,4.3.7,Medium,No
A00328,microsoft-exchange-server-328,Microsoft,Exchange Server,9.6.41,Medium,No
A00329,vmware-esxi-329,VMware,ESXi,1.8.45,Medium,Yes
A00330,microsoft-windows-server-330,Microsoft,Windows Server,2.2.59,High,No
A00331,linux-centos-331,Linux,CentOS,7.0.26,Critical,Yes
A00332,linux-ubuntu-332,Linux,Ubuntu,10.8.71,Medium,No
A00333,microsoft-sql-server-333,Microsoft,SQL Server,5.3.78,High,Yes
A00334,microsoft-sql-server-334,Microsoft,SQL Server,7.1.34,Critical,No
A00335,linux-ubuntu-335,Linux,Ubuntu,8.1.95,Critical,No
A00336,oracle-oracle-db-336,Oracle,Oracle DB,4.8.10,Medium,No
A00337,microsoft-exchange-server-337,Microsoft,Exchange Server,8.8.68,High,No
A00338,vmware-esxi-338,VMware,ESXi,2.1.93,Medium,No
A00339,vmware-esxi-339,VMware,ESXi,3.0.23,Critical,No
A00340,oracle-weblogic-340,Oracle,WebLogic,5.6.18,Low,No
A00341,apache-apache-http-server-341,Apache,Apache HTTP Server,8.8.51,High,No
A00342,apache-apache-http-server-342,Apache,Apache HTTP Server,3.1.44,High,No
A00343,cisco-meraki-343,Cisco,Meraki,1.4.58,High,No
A00344,oracle-weblogic-344,Oracle,WebLogic,4.3.88,High,Yes
A00345,microsoft-windows-server-345,Microsoft,Windows Server,10.2.71,Low,No
A00346,linux-centos-346,Linux,CentOS,4.1.67,Critical,Yes
A00347,oracle-weblogic-347,Oracle,WebLogic,1.9.29,High,No
A00348,microsoft-sql-server-348,Microsoft,SQL Server,2.0.8,Medium,No
A00349,linux-redhat-349,Linux,RedHat,8.1.95,High,No
A00350,cisco-asa-350,Cisco,ASA,9.3.49,Low,No
A00351,cisco-asa-351,Cisco,ASA,3.2.25,Critical,Yes
A00352,oracle-oracle-db-352,Oracle,Oracle DB,10.1.20,High,No
A00353,linux-ubuntu-353,Linux,Ubuntu,3.3.81,High,No
A00354,cisco-meraki-354,Cisco,Meraki,8.8.50,Medium,No
A00355,oracle-oracle-db-355,Oracle,Oracle DB,7.7.67,Low,Yes
A00356,cisco-ios-xe-356,Cisco,IOS XE,3.9.99,High,No
A00357,apache-apache-http-server-357,Apache,Apache HTTP Server,6.9.26,High,No
A00358,oracle-oracle-db-358,Oracle,Oracle DB,5.9.87,Medium,Yes
A00359,apache-apache-http-server-359,Apache,Apache HTTP Server,9.0.71,High,No
A00360,vmware-vcenter-360,VMware,vCenter,9.9.22,Critical,No
A00361,apache-tomcat-361,Apache,Tomcat,5.4.93,High,No
A00362,vmware-esxi-362,VMware,ESXi,4.9.26,Medium,No
A00363,linux-ubuntu-363,Linux,Ubuntu,3.2.32,Medium,No
A00364,vmware-vcenter-364,VMware,vCenter,8.1.31,Low,No
A00365,linux-centos-365,Linux,CentOS,4.9.92,High,Yes
A00366,linux-redhat-366,Linux,RedHat,3.2.25,Medium,No
A00367,linux-ubuntu-367,Linux,Ubuntu,9.7.23,Low,No
A00368,microsoft-exchange-server-368,Microsoft,Exchange Server,3.1.21,Medium,No
A00369,cisco-meraki-369,Cisco,Meraki,10.1.70,Critical,Yes
A00370,oracle-oracle-db-370,Oracle,Oracle DB,5.0.91,High,No
A00371,cisco-asa-371,Cisco,ASA,9.5.14,Low,No
A00372,oracle-weblogic-372,Oracle,WebLogic,10.9.61,Critical,No
